ts,ms,pump,manual_override,alert,reason,context,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy,ml_on,ml_pred,ml_conf,ml_used,extra
1758845407.5350761,151953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.6,22.71,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845408.521775,152961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.71,20.47,19.5,69,5,False,0.0,9.06,True,calm,0.656,False,
1758845409.705787,153953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.75,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845410.5264032,154961,False,False,False,none,night,0,19.44,19.5,19.94,-0.5,1001.0,108.6,22.71,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845411.531279,155969,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.6,22.69,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845412.523479,156961,False,False,False,none,night,0,19.5,19.5,19.94,-0.44,1001.0,108.6,22.63,20.45,19.5,69,0,False,17.99,9.06,True,uniform-overheat,0.445,False,
1758845413.516374,157953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.5,22.65,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845414.5346901,158961,False,False,False,none,night,0,19.44,19.5,19.94,-0.5,1001.0,108.5,22.71,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845415.561397,159969,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.6,22.65,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845416.5221498,160961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.6,22.71,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845417.528436,161969,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.6,22.65,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845418.520798,162961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.69,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845419.638759,163953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.69,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845420.5213308,164961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.6,22.75,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845422.814409,165953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.69,20.45,19.5,69,0,False,90.32,9.06,True,human-tap,0.277,False,
1758845423.017795,167457,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.5,22.63,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845424.025196,168465,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.6,22.57,20.41,19.5,69,1,False,0.0,9.06,True,calm,0.656,False,
1758845425.016225,169457,False,False,False,none,night,0,19.44,19.56,19.87,-0.44,1001.0,108.5,22.63,20.41,19.5,69,0,False,0.0,9.05,True,calm,0.656,False,
1758845426.029728,170465,False,False,False,none,night,0,19.5,19.5,19.87,-0.37,1001.0,108.6,22.63,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845427.020339,171457,False,False,False,none,night,0,19.44,19.56,19.87,-0.44,1001.0,108.6,22.57,20.41,19.5,69,0,False,0.0,9.05,True,calm,0.656,False,
1758845428.0270138,172465,False,False,False,none,night,0,19.5,19.5,19.87,-0.37,1001.0,108.6,22.63,20.45,19.5,69,0,False,9.23,9.06,True,calm,0.43,False,
1758845430.318601,173473,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.5,22.65,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845430.545822,174977,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.6,22.63,20.41,19.5,69,0,False,90.47,9.06,True,human-tap,0.277,False,
1758845431.53619,175969,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.8,22.65,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845433.817806,176977,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.8,22.63,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845434.024965,178465,False,False,False,none,night,0,19.5,19.5,19.87,-0.37,1000.9,108.9,22.65,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845435.036302,179473,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.8,22.69,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845437.314891,180465,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.7,22.63,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845437.529223,181969,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.9,22.65,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845438.521973,182961,False,False,False,none,night,0,19.44,19.56,19.87,-0.44,1001.0,108.9,22.63,20.41,19.5,69,0,False,0.0,9.05,True,calm,0.656,False,
1758845440.8152,183969,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.9,22.63,20.45,19.5,69,0,False,90.55,9.06,True,human-tap,0.277,False,
