ts,ms,pump,manual_override,alert,reason,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy
1758213528.573132,142524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,14.8,25.75,26.41,25.9,55,383,False,3.6,0.453
1758213529.596097,143532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.7,25.73,26.45,25.9,55,374,False,2.24,0.455
1758213530.575488,144524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.7,25.81,26.43,25.9,55,372,False,2.45,0.455
1758213531.5841632,145532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,14.7,25.67,26.41,25.9,55,357,False,2.68,0.453
1758213532.577313,146524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,14.7,25.67,26.41,25.9,55,353,False,2.08,0.453
1758213533.5805361,147532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.2,14.7,25.79,26.45,25.9,55,367,False,3.46,0.455
1758213534.576885,148524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,14.7,25.73,26.43,25.9,55,399,False,3.19,0.453
1758213535.6076999,149532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.2,14.7,25.75,26.45,25.9,55,376,False,2.3,0.455
1758213536.5748491,150524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.7,25.73,26.41,25.9,55,368,False,3.26,0.455
1758213537.584378,151532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.7,25.75,26.45,25.9,56,377,False,3.02,0.455
1758213538.578727,152524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.7,25.67,26.43,25.9,56,394,False,2.6,0.455
1758213539.618528,153532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.6,25.73,26.43,25.9,56,355,False,126.01,0.455
1758213540.572431,154524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.2,14.7,25.85,26.43,25.9,56,359,False,3.2,0.455
1758213541.5828538,155532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,14.7,25.79,26.45,25.9,56,371,False,2.38,0.453
1758213542.639871,156524,True,False,True,hypoxia_emerg,15000,28.0,28.0,27.94,0.06,1002.1,14.6,25.79,26.43,25.9,56,363,False,3.71,0.455
1758213543.585696,157532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.2,14.6,25.75,26.45,25.9,56,380,False,3.05,0.455
1758213544.574195,158524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,14.7,25.81,26.43,25.9,56,368,False,2.36,0.453
1758213545.580129,159532,True,False,True,hypoxia_emerg,15000,28.0,28.06,27.94,0.06,1002.0,14.6,25.75,26.45,25.9,56,371,False,4.32,0.453
1758213546.585856,160524,True,False,True,hypoxia_emerg,15000,28.0,28.0,27.94,0.06,1002.0,14.6,25.75,26.47,25.9,55,368,False,2.78,0.455
1758213547.583649,161532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.7,25.79,26.43,26.0,55,368,False,2.75,0.455
1758213548.578639,162524,True,False,True,hypoxia_emerg,15000,28.0,28.0,27.94,0.06,1002.1,14.6,25.69,26.45,25.9,55,385,False,2.7,0.455
1758213549.5833118,163532,True,False,True,hypoxia_emerg,15000,28.0,28.06,27.94,0.06,1002.1,14.6,25.69,26.43,25.9,55,377,False,4.07,0.453
1758213550.573143,164524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.2,14.6,25.67,26.45,25.9,55,356,False,2.7,0.455
1758213551.7818081,165532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.6,25.67,26.43,25.9,55,362,False,2.65,0.455
1758213552.573707,166524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.6,25.69,26.43,25.9,55,382,False,2.56,0.455
